Company,Category,Revenue,Net_income,Net_margin,Year,FY,Fiscal_period,Currency,Ticker_symbol,Link_or_not,Link
雅戈尔,服装, 96 , 36.8 ,38%,2018,2018,2018/1/1-2018/12/31,亿元,600177.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202004291379034608_1.pdf
雅戈尔,服装, 98 , 2.9 ,3%,2017,2017,2017/1/1-2017/12/31,亿元,600177.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804281133231464_1.pdf
雅戈尔,服装, 149 , 36.9 ,25%,2016,2016,2016/1/1-2016/12/31,亿元,600177.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201804281133231464_1.pdf
安正时尚,服装, 36 , 2.4 ,7%,2020,2020,2020/01/01-2020/12/31,亿元,603839.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121484034261_1.pdf?1618329926000.pdf
安正时尚,服装, 24 , 3.3 ,13%,2019,2019,2019/1/1-2019/12/31,亿元,603839.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN202104121484034261_1.pdf?1618329926000.pdf
安正时尚,服装, 16 , 2.8 ,17%,2018,2018,2018/1/1-2018/12/31,亿元,603839.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201904251322661241_1.pdf
安正时尚,服装, 14 , 2.7 ,19%,2017,2017,2017/1/1-2017/12/31,亿元,603839.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201904251322661241_1.pdf
安正时尚,服装, 12 , 2.4 ,20%,2016,2016,2016/1/1-2016/12/31,亿元,603839.SZ,YES,https://pdf.dfcfw.com/pdf/H2_AN201803281113219702_1.pdf
太平鸟,服装, 94 , 7.1 ,8%,2020,2020,2020/01/01-2020/12/31,亿元,603877.SH,YES,http://data.eastmoney.com/notices/detail/603877/AN202103291478020161.html
太平鸟,服装, 79 , 5.4 ,7%,2019,2019,2019/1/1-2019/12/31,亿元,603877.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN202103291478020161_1.pdf?1617039026000.pdf
太平鸟,服装, 77 , 5.6 ,7%,2018,2018,2018/1/1-2018/12/31,亿元,603877.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201903291311761739_1.pdf
太平鸟,服装, 72 , 4.4 ,6%,2017,2017,2017/1/1-2017/12/31,亿元,603877.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201903291311761739_1.pdf
太平鸟,服装, 63 , 4.2 ,7%,2016,2016,2016/1/1-2016/12/31,亿元,603877.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804231128490745_1.pdf
美邦,服饰, 55 , -8.3 ,-15%,2019,2019,2019/1/1-2019/12/31,亿元,002269.SH,YES,http://data.eastmoney.com/notices/detail/002269/AN202004301379076821.html
美邦,服饰, 77 , 0.4 ,1%,2018,2018,2018/1/1-2018/12/31,亿元,002269.SH,YES,http://data.eastmoney.com/notices/detail/002269/AN202004301379076821.html
美邦,服饰, 65 , -3.0 ,-5%,2017,2017,2017/1/1-2017/12/31,亿元,002269.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804261131253117_1.pdf
美邦,服饰, 65 , 0.4 ,1%,2016,2016,2016/1/1-2016/12/31,亿元,002269.SH,YES,https://pdf.dfcfw.com/pdf/H2_AN201804261131253117_1.pdf
